Location,location_id,Super Region,Region,SDI Quintile,African Union (AU),Commonwealth,European Free Trade Association,EU-15,European Union,EU and EFTA,Four World Regions,G20,Gulf Cooperation Council,OECD Countries,Southern African Development Community,UN Regional Commissions,WHO region,World Bank Income Levels,World Bank Regions
Morocco,148,North Africa and Middle East,North Africa and Middle East,Low-middle SDI,,,,,,,Africa,,,,,ECA,Eastern Mediterranean Region,World Bank Lower Middle Income,Middle East & North Africa - WB
Palestine,149,North Africa and Middle East,North Africa and Middle East,Middle SDI,,,,,,,Africa,,,,,ESCWA,Eastern Mediterranean Region,World Bank Lower Middle Income,Middle East & North Africa - WB
Oman,150,North Africa and Middle East,North Africa and Middle East,High-middle SDI,,,,,,,Asia,,Gulf Cooperation Council,,,ESCWA,Eastern Mediterranean Region,World Bank High Income,Middle East & North Africa - WB
Qatar,151,North Africa and Middle East,North Africa and Middle East,High-middle SDI,,,,,,,Asia,,Gulf Cooperation Council,,,ESCWA,Eastern Mediterranean Region,World Bank High Income,Middle East & North Africa - WB
Saudi Arabia,152,North Africa and Middle East,North Africa and Middle East,High-middle SDI,,,,,,,Asia,G20,Gulf Cooperation Council,,,ESCWA,Eastern Mediterranean Region,World Bank High Income,Middle East & North Africa - WB
Sudan,522,North Africa and Middle East,North Africa and Middle East,Low-middle SDI,African Union,,,,,,Africa,,,,,ECA,Eastern Mediterranean Region,World Bank Lower Middle Income,Sub-Saharan Africa - WB
Syria,153,North Africa and Middle East,North Africa and Middle East,Middle SDI,,,,,,,Asia,,,,,ESCWA,Eastern Mediterranean Region,World Bank Lower Middle Income,Middle East & North Africa - WB
Tunisia,154,North Africa and Middle East,North Africa and Middle East,Middle SDI,African Union,,,,,,Africa,,,,,ECA,Eastern Mediterranean Region,World Bank Lower Middle Income,Middle East & North Africa - WB
Turkey,155,North Africa and Middle East,North Africa and Middle East,High-middle SDI,,,,,,,Europe,G20,,OECD Countries,,ECE,European Region,World Bank Upper Middle Income,Europe & Central Asia - WB
United Arab Emirates,156,North Africa and Middle East,North Africa and Middle East,High SDI,,,,,,,Asia,,Gulf Cooperation Council,,,ESCWA,Eastern Mediterranean Region,World Bank High Income,Middle East & North Africa - WB
Yemen,157,North Africa and Middle East,North Africa and Middle East,Low-middle SDI,,,,,,,Asia,,,,,ESCWA,Eastern Mediterranean Region,World Bank Lower Middle Income,Middle East & North Africa - WB
South Asia,158,South Asia,,,,,,,,,,,,,,,,,
South Asia,159,South Asia,South Asia,,,,,,,,,,,,,,,,
Bangladesh,161,South Asia,South Asia,Low-middle SDI,,Commonwealth Low Income,,,,,Asia,,,,,ESCAP,South-East Asia Region,World Bank Lower Middle Income,South Asia - WB
Bhutan,162,South Asia,South Asia,Low-middle SDI,,,,,,,Asia,,,,,ESCAP,South-East Asia Region,World Bank Lower Middle Income,South Asia - WB
India,163,South Asia,South Asia,Low-middle SDI,,Commonwealth Middle Income,,,,,Asia,G20,,,,ESCAP,South-East Asia Region,World Bank Lower Middle Income,South Asia - WB
Nepal,164,South Asia,South Asia,Low-middle SDI,,,,,,,Asia,,,,,ESCAP,South-East Asia Region,World Bank Low Income,South Asia - WB
Pakistan,165,South Asia,South Asia,Low-middle SDI,,Commonwealth Middle Income,,,,,Asia,,,,,ESCAP,Eastern Mediterranean Region,World Bank Lower Middle Income,South Asia - WB
Sub-Saharan Africa,166,Sub-Saharan Africa,,,,,,,,,,,,,,,,,
Southern Sub-Saharan Africa,192,Sub-Saharan Africa,Southern Sub-Saharan Africa,,,,,,,,,,,,,,,,
Botswana,193,Sub-Saharan Africa,Southern Sub-Saharan Africa,Middle SDI,African Union,Commonwealth Middle Income,,,,,Africa,,,,Southern African Development Community,ECA,African Region,World Bank Upper Middle Income,Sub-Saharan Africa - WB
Lesotho,194,Sub-Saharan Africa,Southern Sub-Saharan Africa,Low-middle SDI,African Union,Commonwealth Middle Income,,,,,Africa,,,,Southern African Development Community,ECA,African Region,World Bank Lower Middle Income,Sub-Saharan Africa - WB
Namibia,195,Sub-Saharan Africa,Southern Sub-Saharan Africa,Middle SDI,African Union,Commonwealth Middle Income,,,,,Africa,,,,Southern African Development Community,ECA,African Region,World Bank Upper Middle Income,Sub-Saharan Africa - WB
South Africa,196,Sub-Saharan Africa,Southern Sub-Saharan Africa,Middle SDI,African Union,Commonwealth Middle Income,,,,,Africa,G20,,,Southern African Development Community,ECA,African Region,World Bank Upper Middle Income,Sub-Saharan Africa - WB
Swaziland,197,Sub-Saharan Africa,Southern Sub-Saharan Africa,Middle SDI,African Union,Commonwealth Middle Income,,,,,Africa,,,,Southern African Development Community,ECA,African Region,World Bank Lower Middle Income,Sub-Saharan Africa - WB
Zimbabwe,198,Sub-Saharan Africa,Southern Sub-Saharan Africa,Low-middle SDI,African Union,,,,,,Africa,,,,Southern African Development Community,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Western Sub-Saharan Africa,199,Sub-Saharan Africa,Western Sub-Saharan Africa,,,,,,,,,,,,,,,,
Benin,200,Sub-Saharan Africa,Western Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Burkina Faso,201,Sub-Saharan Africa,Western Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Cameroon,202,Sub-Saharan Africa,Western Sub-Saharan Africa,Low-middle SDI,African Union,Commonwealth Middle Income,,,,,Africa,,,,,ECA,African Region,World Bank Lower Middle Income,Sub-Saharan Africa - WB
Cape Verde,203,Sub-Saharan Africa,Western Sub-Saharan Africa,Low-middle SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Lower Middle Income,Sub-Saharan Africa - WB
Chad,204,Sub-Saharan Africa,Western Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Cote d'Ivoire,205,Sub-Saharan Africa,Western Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Lower Middle Income,Sub-Saharan Africa - WB
The Gambia,206,Sub-Saharan Africa,Western Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Ghana,207,Sub-Saharan Africa,Western Sub-Saharan Africa,Low-middle SDI,African Union,Commonwealth Middle Income,,,,,Africa,,,,,ECA,African Region,World Bank Lower Middle Income,Sub-Saharan Africa - WB
Guinea,208,Sub-Saharan Africa,Western Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Guinea-Bissau,209,Sub-Saharan Africa,Western Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Liberia,210,Sub-Saharan Africa,Western Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Mali,211,Sub-Saharan Africa,Western Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Mauritania,212,Sub-Saharan Africa,Western Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Lower Middle Income,Sub-Saharan Africa - WB
Niger,213,Sub-Saharan Africa,Western Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Nigeria,214,Sub-Saharan Africa,Western Sub-Saharan Africa,Low-middle SDI,African Union,Commonwealth Middle Income,,,,,Africa,,,,,ECA,African Region,World Bank Lower Middle Income,Sub-Saharan Africa - WB
Sao Tome and Principe,215,Sub-Saharan Africa,Western Sub-Saharan Africa,Low-middle SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Lower Middle Income,Sub-Saharan Africa - WB
Senegal,216,Sub-Saharan Africa,Western Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Sierra Leone,217,Sub-Saharan Africa,Western Sub-Saharan Africa,Low SDI,African Union,Commonwealth Low Income,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Togo,218,Sub-Saharan Africa,Western Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Eastern Sub-Saharan Africa,174,Sub-Saharan Africa,Eastern Sub-Saharan Africa,,,,,,,,,,,,,,,,
Burundi,175,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Comoros,176,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Djibouti,177,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Low-middle SDI,African Union,,,,,,Africa,,,,,ECA,Eastern Mediterranean Region,World Bank Lower Middle Income,Middle East & North Africa - WB
Eritrea,178,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Ethiopia,179,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Kenya,180,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Low SDI,African Union,Commonwealth Low Income,,,,,Africa,,,,,ECA,African Region,World Bank Lower Middle Income,Sub-Saharan Africa - WB
Madagascar,181,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,Southern African Development Community,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Malawi,182,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Low SDI,African Union,Commonwealth Low Income,,,,,Africa,,,,Southern African Development Community,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Mozambique,184,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Low SDI,African Union,Commonwealth Low Income,,,,,Africa,,,,Southern African Development Community,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Rwanda,185,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Low SDI,African Union,Commonwealth Low Income,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Somalia,187,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,Eastern Mediterranean Region,World Bank Low Income,Sub-Saharan Africa - WB
South Sudan,435,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Tanzania,189,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Low-middle SDI,African Union,Commonwealth Low Income,,,,,Africa,,,,Southern African Development Community,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Uganda,190,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Low SDI,African Union,Commonwealth Low Income,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Zambia,191,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Low-middle SDI,African Union,Commonwealth Middle Income,,,,,Africa,,,,Southern African Development Community,ECA,African Region,World Bank Lower Middle Income,Sub-Saharan Africa - WB
Central Sub-Saharan Africa,167,Sub-Saharan Africa,Central Sub-Saharan Africa,,,,,,,,,,,,,,,,
Angola,168,Sub-Saharan Africa,Central Sub-Saharan Africa,Low-middle SDI,African Union,,,,,,Africa,,,,Southern African Development Community,ECA,African Region,World Bank Upper Middle Income,Sub-Saharan Africa - WB
Central African Republic,169,Sub-Saharan Africa,Central Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Congo,170,Sub-Saharan Africa,Central Sub-Saharan Africa,Low-middle SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Lower Middle Income,Sub-Saharan Africa - WB
Democratic Republic of the Congo,171,Sub-Saharan Africa,Central Sub-Saharan Africa,Low SDI,African Union,,,,,,Africa,,,,Southern African Development Community,ECA,African Region,World Bank Low Income,Sub-Saharan Africa - WB
Equatorial Guinea,172,Sub-Saharan Africa,Central Sub-Saharan Africa,Middle SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Upper Middle Income,Sub-Saharan Africa - WB
Gabon,173,Sub-Saharan Africa,Central Sub-Saharan Africa,Middle SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Upper Middle Income,Sub-Saharan Africa - WB
